DOY,Threshold90
240,29.3993846
241,29.3443637
242,29.3275525
243,29.2868345
244,29.2339727
245,29.227664200000003
246,29.1700123
247,29.2431515
248,29.2326172
249,29.2154015
250,29.237239900000002
251,29.2822635
252,29.2369273
253,29.213110699999998
254,29.1869308
255,29.253262499999998
256,29.2284695
257,29.1673681
258,29.1540525
259,29.1600174
260,29.1208357
261,29.103689
262,29.1631085
263,29.1337563
264,29.0878678
265,29.1419173
266,29.140792
267,29.0719894
268,29.0849374
269,29.082651600000002
270,29.0488664
271,29.1355975
272,29.1372003
273,29.1843976
274,29.1883095
275,29.1830262
276,29.2806432
277,29.398703400000002
278,29.258041000000002
279,29.2722689
280,29.3215593
281,29.2741499
282,29.282427000000002
283,29.4023833
284,29.367449
285,29.4819453
286,29.391425100000003
287,29.4217814
288,29.46021
289,29.417437
290,29.525024300000002
291,29.4113689
292,29.3746354
293,29.3207408
294,29.256302
295,29.2716557
296,29.3396489
297,29.2470836
298,29.335126900000002
299,29.3121655
300,29.312456
301,29.3153707
302,29.314872700000002
303,29.4273902
304,29.4096369
305,29.3761409
306,29.3669614
307,29.3978809
308,29.4241703
309,29.404930800000002
310,29.4092239
311,29.3860156
312,29.4020846
313,29.3895765
314,29.3969263
315,29.3647065
316,29.395258600000002
317,29.284169199999997
318,29.3276713
319,29.3479472
320,29.4284661
321,29.443168699999998
322,29.3626787
323,29.3713939
324,29.3995912
325,29.324953
326,29.3618728
327,29.3733007
328,29.358878
329,29.247457100000002
330,29.247987
331,29.2235315
332,29.190911200000002
333,29.0978914
334,29.0796298
335,29.1014648
336,29.1007536
337,29.131644
338,29.1028443
339,29.086285800000002
340,29.0874094
341,29.0983083
342,29.0811849
343,29.092403700000002
344,29.0790482
345,29.100841000000003
346,29.0909294
347,29.1157177
348,29.062002
349,29.0739067
350,29.0527451
351,29.0076473
352,29.007738099999997
353,29.0111289
354,29.0326678
355,29.026980599999998
356,28.9968627
357,28.971961099999998
358,28.9163644
359,28.9225089
360,28.9382118
361,28.8955385
362,28.91366
363,29.018226300000002
364,28.9488378
365,28.9523807
