Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,MEI_0m,MEI_1m,MEI_2m,MEI_3m,MEI_6m,MEI_Phase,MEI_Phase_1m,MEI_Phase_2m,MEI_Phase_3m,MEI_Phase_6m
2021-12-03,2021-12-15,13,0.1603107506203471,0.2475553838709672,-1.2000000476837158,-1.3899999856948853,-1.4600000381469729,-1.3700000047683716,-1.0499999523162842,La Nina,La Nina,La Nina,La Nina,La Nina
2022-01-01,2022-01-06,6,0.1029862217937527,0.2027816062499994,-1.0099999904632568,-1.2000000476837158,-1.3899999856948853,-1.4600000381469729,-1.440000057220459,La Nina,La Nina,La Nina,La Nina,La Nina
2022-07-27,2022-08-08,13,0.427123138709678,0.791831138709675,-2.1700000762939453,-1.899999976158142,-1.6299999952316284,-1.600000023841858,-1.0099999904632568,La Nina,La Nina,La Nina,La Nina,La Nina
2022-08-29,2022-09-11,14,0.491046052534562,0.7155913999999974,-1.75,-2.1700000762939453,-1.899999976158142,-1.6299999952316284,-0.9800000190734864,La Nina,La Nina,La Nina,La Nina,La Nina
2023-01-01,2023-01-06,6,0.1497262217937525,0.248802606249999,-1.1100000143051147,-1.2699999809265137,-1.5299999713897705,-1.7200000286102295,-2.1700000762939453,La Nina,La Nina,La Nina,La Nina,La Nina
2023-04-11,2023-05-11,31,0.2531448370447453,0.4868632516129096,-0.3600000143051147,-0.7599999904632568,-0.9100000262260436,-1.1100000143051147,-1.7200000286102295,Neutral,La Nina,La Nina,La Nina,La Nina
2023-05-28,2023-06-21,25,0.1940704358709661,0.3888792387096806,-0.0599999986588954,-0.3600000143051147,-0.7599999904632568,-0.9100000262260436,-1.5299999713897705,Neutral,Neutral,La Nina,La Nina,La Nina
2023-06-30,2023-07-06,7,0.1878730447004609,0.3151792967741897,0.4300000071525574,-0.0599999986588954,-0.3600000143051147,-0.7599999904632568,-1.2699999809265137,Neutral,Neutral,Neutral,La Nina,La Nina
2023-08-30,2023-09-03,5,0.0736609045161294,0.1329720354838706,0.5099999904632568,0.5099999904632568,0.4300000071525574,-0.0599999986588954,-0.9100000262260436,El Nino,El Nino,Neutral,Neutral,La Nina
2023-10-10,2023-10-21,12,0.1652901744623654,0.2719997064516128,0.4799999892711639,0.6899999976158142,0.5099999904632568,0.5099999904632568,-0.3600000143051147,Neutral,El Nino,El Nino,El Nino,Neutral
2023-11-03,2023-11-09,7,0.1145240580645148,0.1689794129032229,0.9100000262260436,0.4799999892711639,0.6899999976158142,0.5099999904632568,-0.0599999986588954,El Nino,Neutral,El Nino,El Nino,Neutral
2023-12-03,2023-12-09,7,0.0939239815668204,0.1664118709677424,1.1299999952316284,0.9100000262260436,0.4799999892711639,0.6899999976158142,0.4300000071525574,El Nino,El Nino,Neutral,El Nino,Neutral
2024-04-07,2024-05-25,49,0.3037085087557604,0.9121927741935528,0.3400000035762787,0.7799999713897705,0.6800000071525574,0.699999988079071,0.4799999892711639,Neutral,El Nino,El Nino,El Nino,Neutral
2024-05-30,2024-06-06,8,0.1223167721774203,0.2883897354838716,0.1199999973177909,0.3400000035762787,0.7799999713897705,0.6800000071525574,0.9100000262260436,Neutral,Neutral,El Nino,El Nino,El Nino
2024-10-07,2024-10-22,16,0.3530566467741929,0.584013141935479,-0.5099999904632568,-0.6499999761581421,-0.7300000190734863,-0.7200000286102295,0.3400000035762787,La Nina,La Nina,La Nina,La Nina,Neutral
2024-10-30,2024-11-08,10,0.0674375983870962,0.1230774129032248,-0.5099999904632568,-0.6499999761581421,-0.7300000190734863,-0.7200000286102295,0.3400000035762787,La Nina,La Nina,La Nina,La Nina,Neutral
2024-11-10,2024-11-17,8,0.1177348536290323,0.2125665677419377,-0.6800000071525574,-0.5099999904632568,-0.6499999761581421,-0.7300000190734863,0.1199999973177909,La Nina,La Nina,La Nina,La Nina,Neutral
2024-11-30,2024-12-12,13,0.1210076367245655,0.2257198612903259,-0.6800000071525574,-0.5099999904632568,-0.6499999761581421,-0.7300000190734863,0.1199999973177909,La Nina,La Nina,La Nina,La Nina,Neutral
2025-01-01,2025-01-19,19,0.1455950015162347,0.4393796062500001,-1.0,-0.9100000262260436,-0.6800000071525574,-0.5099999904632568,-0.7200000286102295,La Nina,La Nina,La Nina,La Nina,La Nina
2025-01-22,2025-03-23,61,0.2272734505023797,0.4836931387096754,-1.0,-0.9100000262260436,-0.6800000071525574,-0.5099999904632568,-0.7200000286102295,La Nina,La Nina,La Nina,La Nina,La Nina
2025-03-29,2025-04-07,10,0.1218551390322591,0.1990950612903184,-0.6800000071525574,-0.8299999833106995,-1.0,-0.9100000262260436,-0.6499999761581421,La Nina,La Nina,La Nina,La Nina,La Nina
2025-05-12,2025-05-18,7,0.1420918479262667,0.2211309096774165,-0.3600000143051147,-0.3799999952316284,-0.6800000071525574,-0.8299999833106995,-0.6800000071525574,Neutral,Neutral,La Nina,La Nina,La Nina
2025-07-19,2025-07-23,5,0.1800355361290314,0.2362101387096764,-1.2200000286102295,-1.1699999570846558,-0.3600000143051147,-0.3799999952316284,-1.0,La Nina,La Nina,Neutral,Neutral,La Nina
2025-08-03,2025-08-17,15,0.2619571511827951,0.4766034870967743,-0.8700000047683716,-1.2200000286102295,-1.1699999570846558,-0.3600000143051147,-0.8299999833106995,La Nina,La Nina,La Nina,Neutral,La Nina
2025-09-17,2025-09-21,5,0.1608681232258057,0.2048523612903174,-1.1200000047683716,-0.8700000047683716,-1.2200000286102295,-1.1699999570846558,-0.6800000071525574,La Nina,La Nina,La Nina,La Nina,La Nina
2025-10-19,2025-11-03,16,0.1466296612903228,0.2870568064516128,-1.190000057220459,-1.1200000047683716,-0.8700000047683716,-1.2200000286102295,-0.3799999952316284,La Nina,La Nina,La Nina,La Nina,Neutral
