Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,DMI_0m,DMI_1m,DMI_2m,DMI_3m,DMI_6m,IOD_Phase,IOD_Phase_1m,IOD_Phase_2m,IOD_Phase_3m,IOD_Phase_6m
2020-05-06,2020-05-12,7,0.0605500820276496,0.1721145290322567,0.2980000078678131,-0.0109999999403953,0.0189999993890523,0.0540000014007091,0.8349999785423279,Neutral,Neutral,Neutral,Neutral,Positive
2020-06-23,2020-07-02,10,0.0815466109677412,0.1329350451612896,0.4539999961853027,0.2980000078678131,-0.0109999999403953,0.0189999993890523,0.2430000007152557,Positive,Neutral,Neutral,Neutral,Neutral
2020-07-18,2020-08-03,17,0.229599138899432,0.5450539129032279,0.3199999928474426,0.4539999961853027,0.2980000078678131,-0.0109999999403953,0.1729999929666519,Neutral,Positive,Neutral,Neutral,Neutral
2020-08-27,2020-09-19,24,0.43032667782258,0.8421781741935526,-0.1829999983310699,0.3199999928474426,0.4539999961853027,0.2980000078678131,0.0540000014007091,Neutral,Neutral,Positive,Neutral,Neutral
2021-01-07,2021-01-15,9,0.0302630636293442,0.0558066319999994,0.0509999990463256,0.0299999993294477,0.0199999995529651,0.0740000009536743,0.3199999928474426,Neutral,Neutral,Neutral,Neutral,Neutral
2021-05-14,2021-05-21,8,0.3043162439516114,0.5335736806451585,0.0089999996125698,0.25,0.2660000026226043,0.2430000007152557,0.0199999995529651,Neutral,Neutral,Neutral,Neutral,Neutral
2021-06-02,2021-06-08,7,0.212865931336406,0.3230665516129072,-0.0020000000949949,0.0089999996125698,0.25,0.2660000026226043,0.0299999993294477,Neutral,Neutral,Neutral,Neutral,Neutral
2021-07-04,2021-07-08,5,0.0772426858064541,0.2008217806451604,-0.2280000001192093,-0.0020000000949949,0.0089999996125698,0.25,0.0509999990463256,Neutral,Neutral,Neutral,Neutral,Neutral
2022-01-22,2022-01-29,8,0.0742309411290338,0.1255445870967761,-0.0560000017285347,-0.1199999973177909,0.0689999982714653,-0.090999998152256,-0.2280000001192093,Neutral,Neutral,Neutral,Neutral,Neutral
2022-03-27,2022-04-02,7,0.1055733511520732,0.1622486161290339,-0.0930000022053718,-0.0829999968409538,-0.0560000017285347,-0.1199999973177909,-0.0579999983310699,Neutral,Neutral,Neutral,Neutral,Neutral
2022-04-22,2022-05-05,14,0.1377281096774196,0.2287147387096766,-0.0680000036954879,-0.0930000022053718,-0.0829999968409538,-0.0560000017285347,-0.090999998152256,Neutral,Neutral,Neutral,Neutral,Neutral
2022-06-29,2022-07-04,6,0.0530952000000013,0.1086242387096767,-0.3350000083446502,-0.1220000013709068,-0.0680000036954879,-0.0930000022053718,-0.1199999973177909,Neutral,Neutral,Neutral,Neutral,Neutral
2022-07-25,2022-08-03,10,0.2528771548387116,0.416600174193551,-0.1949999928474426,-0.3350000083446502,-0.1220000013709068,-0.0680000036954879,-0.0560000017285347,Neutral,Neutral,Neutral,Neutral,Neutral
2022-08-28,2022-09-06,10,0.2365157603225793,0.4335852096774175,-0.2460000067949295,-0.1949999928474426,-0.3350000083446502,-0.1220000013709068,-0.0829999968409538,Neutral,Neutral,Neutral,Neutral,Neutral
2023-05-04,2023-05-09,6,0.1544696059139774,0.3443401096774181,0.4429999887943268,0.5600000023841858,0.4149999916553497,0.1570000052452087,-0.2689999938011169,Positive,Positive,Positive,Neutral,Neutral
2023-05-31,2023-06-06,7,0.0267676981566822,0.0475257903225809,0.4429999887943268,0.5600000023841858,0.4149999916553497,0.1570000052452087,-0.2689999938011169,Positive,Positive,Positive,Neutral,Neutral
