DOY,Threshold90
319,29.0394527
320,28.998350900000002
321,28.9829852
322,28.9745327
323,28.946978599999998
324,28.892432
325,28.814023199999998
326,28.7205258
327,28.6583657
328,28.599123
329,28.5283577
330,28.4727332
331,28.4370202
332,28.409498300000003
333,28.3593342
334,28.350354000000003
335,28.3017056
336,28.2786405
337,28.2789969
338,28.277459500000003
339,28.267824400000002
340,28.2472557
341,28.2250418
342,28.1008465
343,28.003558
344,27.897670400000003
345,27.8650801
346,27.787513099999998
347,27.687439299999998
348,27.624746
349,27.5369041
350,27.488638299999998
351,27.432672
352,27.3679168
353,27.292414400000002
354,27.210866199999998
355,27.1277163
356,27.0503128
357,27.0184214
358,26.9522573
359,26.9069422
360,26.8993535
361,26.7947569
362,26.792063199999998
363,26.8512016
364,26.8175638
365,26.7766619
