region,horizon,model,feature,importance
north,14,xgboost,Intensity_mean_21d,0.015558580867946148
north,14,xgboost,SST_mean_30d,0.008649223484098911
north,14,xgboost,SST_std_30d,0.007172909565269947
north,14,xgboost,Intensity_mean_30d,0.014123217202723026
north,14,xgboost,SST_change_7d,0.011319421231746674
north,14,xgboost,SST_change_14d,0.005347738042473793
north,14,xgboost,Wind,0.01718296855688095
north,14,xgboost,Wind_Climatology,0.004237970802932978
north,14,xgboost,Wind_Anomaly,0.006811561994254589
north,14,xgboost,Wind_mean_7d,0.007209875155240297
north,14,xgboost,Wind_anom_mean_7d,0.006116483360528946
north,14,xgboost,Wind_mean_14d,0.005678487941622734
north,14,xgboost,Wind_anom_mean_14d,0.01455933041870594
north,14,xgboost,Wind_mean_21d,0.01135459914803505
north,14,xgboost,Wind_anom_mean_21d,0.0051673660054802895
north,14,xgboost,Wind_mean_30d,0.007704476825892925
north,14,xgboost,Wind_anom_mean_30d,0.0081218546256423
north,14,xgboost,SLHF,0.011322143487632275
north,14,xgboost,SLHF_Anomaly,0.023326709866523743
north,14,xgboost,SLHF_anom_mean_7d,0.008398663252592087
north,14,xgboost,SLHF_anom_mean_14d,0.009522425942122936
north,14,xgboost,SLHF_anom_mean_21d,0.008655227720737457
north,14,xgboost,SLHF_anom_mean_30d,0.0064948671497404575
north,14,xgboost,SSHF,0.012522866949439049
north,14,xgboost,SSHF_Anomaly,0.009216646663844585
north,14,xgboost,SSHF_anom_mean_7d,0.009312240406870842
north,14,xgboost,SSHF_anom_mean_14d,0.0052996412850916386
north,14,xgboost,SSHF_anom_mean_21d,0.005632517393678427
north,14,xgboost,SSHF_anom_mean_30d,0.007221297360956669
north,14,xgboost,ONI_0m,0.02184411697089672
north,14,xgboost,DMI_0m,0.01535811647772789
north,14,xgboost,MEI_0m,0.018292749300599098
north,14,xgboost,ONI_1m,0.01450541615486145
north,14,xgboost,DMI_1m,0.042341362684965134
north,14,xgboost,MEI_1m,0.022580772638320923
north,14,xgboost,ONI_2m,0.018519500270485878
north,14,xgboost,DMI_2m,0.015298754908144474
north,14,xgboost,MEI_2m,0.020123492926359177
north,14,xgboost,ONI_3m,0.018011005595326424
north,14,xgboost,DMI_3m,0.026965703815221786
north,14,xgboost,MEI_3m,0.011259399354457855
north,14,xgboost,ONI_6m,0.022541942074894905
north,14,xgboost,DMI_6m,0.019933287054300308
north,14,xgboost,MEI_6m,0.029055772349238396
north,14,xgboost,DOY_sin,0.025588035583496094
north,14,xgboost,DOY_cos,0.015830574557185173
central,3,xgboost,SST,0.010628592222929
central,3,xgboost,Climatology,0.0058632357977330685
central,3,xgboost,Threshold90,0.00971648283302784
